date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:37	118/118	---M--	200	added ('OK')	text/plain	etag:%226645a0a0-76%22	https://vdelo.pro/robots.txt		(from )
17:07:38	37882/37882	---MCZ	200	added ('OK')	text/html	etag:W/%2267371b51-93fa%22	https://vdelo.pro/	./mywebsite/vdelo.pro/index.html	(from )
17:07:38	2026/2026	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b50-7ea%22	https://vdelo.pro/icons/logo.svg	./mywebsite/vdelo.pro/icons/logo.svg	(from https://vdelo.pro/)
17:07:39	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:%2267371b51-3c2e%22	https://vdelo.pro/favicon/favicon.ico	./mywebsite/vdelo.pro/favicon/favicon.ico	(from https://vdelo.pro/)
17:07:40	4557/4557	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b51-11cd%22	https://vdelo.pro/favicon/favicon-120x120.svg	./mywebsite/vdelo.pro/favicon/favicon-120x120.svg	(from https://vdelo.pro/)
17:07:41	185/185	---M--	200	added ('OK')	application/json	etag:%2267371b5f-b9%22	https://vdelo.pro/json/tableau.json?v1.4	./mywebsite/vdelo.pro/json/tableau7373.json	(from https://vdelo.pro/)
17:07:42	52/52	---M--	200	added ('OK')	application/javascript	etag:%2267371b5e-34%22	https://vdelo.pro/_payload.js	./mywebsite/vdelo.pro/_payload.js	(from https://vdelo.pro/)
17:07:44	48431/48431	---M--	200	added ('OK')	text/css	etag:%2267371b5b-bd2f%22	https://vdelo.pro/_nuxt/entry.645acc4f.css	./mywebsite/vdelo.pro/_nuxt/entry.645acc4f.css	(from https://vdelo.pro/)
17:07:45	10892/10892	---M--	200	added ('OK')	application/javascript	etag:%2267371b5b-2a8c%22	https://vdelo.pro/_nuxt/default.39380a9c.js	./mywebsite/vdelo.pro/_nuxt/default.39380a9c.js	(from https://vdelo.pro/)
17:07:46	296704/296704	---M--	200	added ('OK')	application/javascript	etag:%2267371b5b-48700%22	https://vdelo.pro/_nuxt/entry.043f00b6.js	./mywebsite/vdelo.pro/_nuxt/entry.043f00b6.js	(from https://vdelo.pro/)
17:07:46	4234/4234	---M--	200	added ('OK')	text/css	etag:%2267371b5b-108a%22	https://vdelo.pro/_nuxt/default.d4c7c884.css	./mywebsite/vdelo.pro/_nuxt/default.d4c7c884.css	(from https://vdelo.pro/)
17:07:47	252/252	---M--	200	added ('OK')	application/javascript	etag:%2267371b5c-fc%22	https://vdelo.pro/_nuxt/message.dc291a30.js	./mywebsite/vdelo.pro/_nuxt/message.dc291a30.js	(from https://vdelo.pro/)
17:07:48	398/398	---M--	200	added ('OK')	application/javascript	etag:%2267371b5e-18e%22	https://vdelo.pro/_nuxt/vue.f36acd1f.78506e28.js	./mywebsite/vdelo.pro/_nuxt/vue.f36acd1f.78506e28.js	(from https://vdelo.pro/)
17:07:49	15515/15515	---M--	200	added ('OK')	application/javascript	etag:%2267371b5c-3c9b%22	https://vdelo.pro/_nuxt/index.ae64c263.js	./mywebsite/vdelo.pro/_nuxt/index.ae64c263.js	(from https://vdelo.pro/)
17:07:50	10263/10263	---M--	200	added ('OK')	text/css	etag:%2267371b5c-2817%22	https://vdelo.pro/_nuxt/index.6cfcb707.css	./mywebsite/vdelo.pro/_nuxt/index.6cfcb707.css	(from https://vdelo.pro/)
17:07:51	295/295	---M--	200	added ('OK')	application/javascript	etag:%2267371b5c-127%22	https://vdelo.pro/_nuxt/index.2c391975.js	./mywebsite/vdelo.pro/_nuxt/index.2c391975.js	(from https://vdelo.pro/)
17:07:52	2138/2138	---M--	200	added ('OK')	application/javascript	etag:%2267371b5c-85a%22	https://vdelo.pro/_nuxt/FirstScreen.cc0a0a58.js	./mywebsite/vdelo.pro/_nuxt/FirstScreen.cc0a0a58.js	(from https://vdelo.pro/)
17:07:53	1962/1962	---M--	200	added ('OK')	text/css	etag:%2267371b5c-7aa%22	https://vdelo.pro/_nuxt/FirstScreen.a81c51d0.css	./mywebsite/vdelo.pro/_nuxt/FirstScreen.a81c51d0.css	(from https://vdelo.pro/)
17:07:54	463/463	---M--	200	added ('OK')	application/javascript	etag:%2267371b5a-1cf%22	https://vdelo.pro/_nuxt/client-only.c2497d55.js	./mywebsite/vdelo.pro/_nuxt/client-only.c2497d55.js	(from https://vdelo.pro/)
17:07:55	15338/15338	---M--	200	added ('OK')	application/javascript	etag:%2267371b5b-3bea%22	https://vdelo.pro/_nuxt/ConclusionModal.e8d3fb99.js	./mywebsite/vdelo.pro/_nuxt/ConclusionModal.e8d3fb99.js	(from https://vdelo.pro/)
17:07:56	9846/9846	---M--	200	added ('OK')	text/css	etag:%2267371b5b-2676%22	https://vdelo.pro/_nuxt/ConclusionModal.2d0f82c6.css	./mywebsite/vdelo.pro/_nuxt/ConclusionModal.2d0f82c6.css	(from https://vdelo.pro/)
17:07:57	91/91	---M--	200	added ('OK')	application/javascript	etag:%2267371b5e-5b%22	https://vdelo.pro/_nuxt/_plugin-vue_export-helper.c27b6911.js	./mywebsite/vdelo.pro/_nuxt/_plugin-vue_export-helper.c27b6911.js	(from https://vdelo.pro/)
17:07:58	55734/55734	---M--	200	added ('OK')	application/javascript	etag:%2267371b5c-d9b6%22	https://vdelo.pro/_nuxt/InputDefault.a524a8a1.js	./mywebsite/vdelo.pro/_nuxt/InputDefault.a524a8a1.js	(from https://vdelo.pro/)
17:07:59	4546/4546	---M--	200	added ('OK')	text/css	etag:%2267371b5c-11c2%22	https://vdelo.pro/_nuxt/InputDefault.2629e1a2.css	./mywebsite/vdelo.pro/_nuxt/InputDefault.2629e1a2.css	(from https://vdelo.pro/)
17:08:00	3276/3276	---M--	200	added ('OK')	application/javascript	etag:%2267371b5b-ccc%22	https://vdelo.pro/_nuxt/Facts.820c33cc.js	./mywebsite/vdelo.pro/_nuxt/Facts.820c33cc.js	(from https://vdelo.pro/)
17:08:01	4094/4094	---M--	200	added ('OK')	text/css	etag:%2267371b5b-ffe%22	https://vdelo.pro/_nuxt/Facts.29cae013.css	./mywebsite/vdelo.pro/_nuxt/Facts.29cae013.css	(from https://vdelo.pro/)
17:08:02	435/435	---M--	200	added ('OK')	application/javascript	etag:%2267371b5a-1b3%22	https://vdelo.pro/_nuxt/ActionBlock.81c36400.js	./mywebsite/vdelo.pro/_nuxt/ActionBlock.81c36400.js	(from https://vdelo.pro/)
17:08:03	617/617	---M--	200	added ('OK')	text/css	etag:%2267371b5a-269%22	https://vdelo.pro/_nuxt/ActionBlock.e3ced143.css	./mywebsite/vdelo.pro/_nuxt/ActionBlock.e3ced143.css	(from https://vdelo.pro/)
17:08:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Dec%202024%2011:08:04%20GMT	https://vdelo.pro/investor	./mywebsite/vdelo.pro/investor	(from https://vdelo.pro/)
17:08:05	66159/66159	---MCZ	200	added ('OK')	text/html	etag:W/%2267371b57-1026f%22	https://vdelo.pro/investor/	./mywebsite/vdelo.pro/investor/index.html	(from https://vdelo.pro/)
17:08:05	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Dec%202024%2011:08:05%20GMT	https://vdelo.pro/loaner	./mywebsite/vdelo.pro/loaner.1b.delayed	(from https://vdelo.pro/)
17:08:06	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Dec%202024%2011:08:06%20GMT	https://vdelo.pro/partner	./mywebsite/vdelo.pro/partner	(from https://vdelo.pro/)
17:08:07	72238/72238	---MCZ	200	added ('OK')	text/html	etag:W/%2267371b51-11a2e%22	https://vdelo.pro/loaner/	./mywebsite/vdelo.pro/loaner/index.html	(from https://vdelo.pro/)
17:08:07	67871/67871	---MCZ	200	added ('OK')	text/html	etag:W/%2267371b5f-1091f%22	https://vdelo.pro/partner/	./mywebsite/vdelo.pro/partner/index.html	(from https://vdelo.pro/)
17:08:07	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Dec%202024%2011:08:07%20GMT	https://vdelo.pro/documents	./mywebsite/vdelo.pro/documents.1d.delayed	(from https://vdelo.pro/)
17:08:08	27190/27190	---M--	200	added ('OK')	image/webp	etag:%2267371b52-6a36%22	https://vdelo.pro/images/b-preview.webp	./mywebsite/vdelo.pro/images/b-preview.webp	(from https://vdelo.pro/)
17:08:09	37295/37295	---MCZ	200	added ('OK')	text/html	etag:W/%2267371b51-91af%22	https://vdelo.pro/documents/	./mywebsite/vdelo.pro/documents/index.html	(from https://vdelo.pro/)
17:08:09	7093/7093	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b53-1bb5%22	https://vdelo.pro/images/money-way.svg	./mywebsite/vdelo.pro/images/money-way.svg	(from https://vdelo.pro/)
17:08:10	21538/21538	---M--	200	added ('OK')	image/webp	etag:%2267371b53-5422%22	https://vdelo.pro/images/partners/partner1.webp	./mywebsite/vdelo.pro/images/partners/partner1.webp	(from https://vdelo.pro/)
17:08:11	7292/7292	---M--	200	added ('OK')	image/webp	etag:%2267371b53-1c7c%22	https://vdelo.pro/images/partners/partner3.webp	./mywebsite/vdelo.pro/images/partners/partner3.webp	(from https://vdelo.pro/)
17:08:12	2830/2830	---M--	200	added ('OK')	image/webp	etag:%2267371b53-b0e%22	https://vdelo.pro/images/partners/partner4.webp	./mywebsite/vdelo.pro/images/partners/partner4.webp	(from https://vdelo.pro/)
17:08:13	17848/17848	---M--	200	added ('OK')	image/webp	etag:%2267371b53-45b8%22	https://vdelo.pro/images/partners/partner5.webp	./mywebsite/vdelo.pro/images/partners/partner5.webp	(from https://vdelo.pro/)
17:08:14	22538/22538	---M--	200	added ('OK')	image/webp	etag:%2267371b54-580a%22	https://vdelo.pro/images/partners/partner6.webp	./mywebsite/vdelo.pro/images/partners/partner6.webp	(from https://vdelo.pro/)
17:08:16	40746/40746	---MCZ	200	added ('OK')	text/html	etag:W/%2267371b5e-9f2a%22	https://vdelo.pro/infographic.html	./mywebsite/vdelo.pro/infographic.html	(from https://vdelo.pro/)
17:08:16	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Dec%202024%2011:08:16%20GMT	https://vdelo.pro/'/images/command-slider-background.webp'	./mywebsite/vdelo.pro/'/images/command-slider-background.webp'	(from https://vdelo.pro/)
17:08:17	12446/12446	---M--	200	added ('OK')	image/webp	etag:%2267371b52-309e%22	https://vdelo.pro/images/command/rt.webp	./mywebsite/vdelo.pro/images/command/rt.webp	(from https://vdelo.pro/)
17:08:18	3111/3111	---M--	200	added ('OK')	image/png	etag:%2267371b52-c27%22	https://vdelo.pro/images/command/Ruslan-sm.png	./mywebsite/vdelo.pro/images/command/Ruslan-sm.png	(from https://vdelo.pro/)
17:08:19	3364/3364	---M--	200	added ('OK')	image/png	etag:%2267371b52-d24%22	https://vdelo.pro/images/command/Ina-sm.png	./mywebsite/vdelo.pro/images/command/Ina-sm.png	(from https://vdelo.pro/)
17:08:20	4455/4455	---M--	200	added ('OK')	image/png	etag:%2267371b52-1167%22	https://vdelo.pro/images/command/Sulla-sm.png	./mywebsite/vdelo.pro/images/command/Sulla-sm.png	(from https://vdelo.pro/)
17:08:21	4214/4214	---M--	200	added ('OK')	image/png	etag:%2267371b52-1076%22	https://vdelo.pro/images/command/Sergey-sm.png	./mywebsite/vdelo.pro/images/command/Sergey-sm.png	(from https://vdelo.pro/)
17:08:23	8350/8350	---M--	200	added ('OK')	image/webp	etag:%2267371b52-209e%22	https://vdelo.pro/images/begin-loaner.webp	./mywebsite/vdelo.pro/images/begin-loaner.webp	(from https://vdelo.pro/)
17:08:24	11230/11230	---M--	200	added ('OK')	image/webp	etag:%2267371b52-2bde%22	https://vdelo.pro/images/begin-investor_purple.webp	./mywebsite/vdelo.pro/images/begin-investor_purple.webp	(from https://vdelo.pro/)
17:08:25	2708/2708	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b50-a94%22	https://vdelo.pro/icons/phone.svg	./mywebsite/vdelo.pro/icons/phone.svg	(from https://vdelo.pro/)
17:08:26	1010/1010	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b50-3f2%22	https://vdelo.pro/icons/mail.svg	./mywebsite/vdelo.pro/icons/mail.svg	(from https://vdelo.pro/)
17:08:27	1383/1383	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b51-567%22	https://vdelo.pro/icons/telegram.svg	./mywebsite/vdelo.pro/icons/telegram.svg	(from https://vdelo.pro/)
17:08:28	1052/1052	---M--	200	added ('OK')	image/svg+xml	etag:%2267371b51-41c%22	https://vdelo.pro/icons/vk.svg	./mywebsite/vdelo.pro/icons/vk.svg	(from https://vdelo.pro/)
17:08:29	1389433/1389433	---M--	200	added ('OK')	video/mp4	etag:%2267371b56-153379%22	https://vdelo.pro/video/begin-background.mp4	./mywebsite/vdelo.pro/video/begin-background.mp4	(from https://vdelo.pro/)
17:08:29	36706/36706	---M--	200	added ('OK')	image/webp	etag:%2267371b53-8f62%22	https://vdelo.pro/images/footer-images/index-page.webp	./mywebsite/vdelo.pro/images/footer-images/index-page.webp	(from https://vdelo.pro/)
17:08:30	17530/17530	---M--	200	added ('OK')	image/webp	etag:%2267371b53-447a%22	https://vdelo.pro/images/footer-images/index-background.webp	./mywebsite/vdelo.pro/images/footer-images/index-background.webp	(from https://vdelo.pro/)
17:08:32	122383/122383	---M--	200	added ('OK')	application/javascript	etag:%2267371b5e-1de0f%22	https://vdelo.pro/_nuxt/polyfills-legacy.D2Ni_Hhy.js	./mywebsite/vdelo.pro/_nuxt/polyfills-legacy.D2Ni_Hhy.js	(from https://vdelo.pro/)
